fileid,mic_file,gt_doas_by_scene_ref_order,hark_music_doas,hark_music_scores,mean_matched_doa_error_deg,localization_sec,localization_rtf
98,mic_fileid_98_doa46_3spk.wav,"128,46,274","270,90,155","1.000000,0.661106,0.044127",25.0,0.03221819199825404,0.0019606683198134184
99,mic_fileid_99_doa33_3spk.wav,"247,33,295","190,95,260","1.000000,0.550622,0.410314",51.333333333333336,0.03627627699825098,0.002101693288042118
100,mic_fileid_100_doa58_3spk.wav,"258,58,135","260,155,100","1.000000,0.943179,0.268921",21.333333333333332,0.03765112299879547,0.002554956943561597
101,mic_fileid_101_doa238_3spk.wav,"272,314,238","195,270,345","1.000000,0.573422,0.516734",25.333333333333332,0.04602418099966599,0.002693835586752472
102,mic_fileid_102_doa204_3spk.wav,"324,204,244","200,265,340","1.000000,0.108159,0.064876",13.666666666666666,0.03906642600122723,0.002261737476732265
103,mic_fileid_103_doa27_3spk.wav,"59,255,27","75,180,15","1.000000,0.782489,0.484979",34.333333333333336,0.03700109099736437,0.002384263743174964
104,mic_fileid_104_doa10_3spk.wav,"301,173,10","80,290,345","1.000000,0.558598,0.121247",43.0,0.041758979998121504,0.0024601188555173023
105,mic_fileid_105_doa7_3spk.wav,"134,7,49","105,155,10","1.000000,0.081224,0.039994",26.666666666666668,0.04183516700140899,0.0025553655438664133
106,mic_fileid_106_doa79_3spk.wav,"130,203,79","95,170,5","1.000000,0.439067,0.387127",47.333333333333336,0.055843305999587756,0.0032861084810349547
107,mic_fileid_107_doa58_3spk.wav,"58,120,308","25,70,150","1.000000,0.687995,0.304339",39.666666666666664,0.03306028299994068,0.0019968762382182098
108,mic_fileid_108_doa63_3spk.wav,"63,191,236","80,10,185","1.000000,0.322561,0.176860",52.333333333333336,0.029742385999270482,0.0019318882789951923
109,mic_fileid_109_doa236_3spk.wav,"236,279,355","265,195,95","1.000000,0.515674,0.273323",51.666666666666664,0.023471622000215575,0.0013440388238449095
110,mic_fileid_110_doa31_3spk.wav,"265,31,116","180,95,155","1.000000,0.156124,0.126760",62.666666666666664,0.03842321899719536,0.003540372389546122
111,mic_fileid_111_doa38_3spk.wav,"186,253,38","5,185,85","1.000000,0.267193,0.182402",53.333333333333336,0.04824609999923268,0.002801788643809154
112,mic_fileid_112_doa172_3spk.wav,"172,268,299","85,175,280","1.000000,0.122948,0.046237",53.666666666666664,0.037466450998181244,0.0021498774045349235
113,mic_fileid_113_doa12_3spk.wav,"64,203,12","190,265,80","1.000000,0.697718,0.489695",45.333333333333336,0.023633983000763692,0.0014433517615642546
114,mic_fileid_114_doa42_3spk.wav,"273,42,353","275,180,85","1.000000,0.234640,0.206551",71.33333333333333,0.025558084998920094,0.001501142974548557
115,mic_fileid_115_doa10_3spk.wav,"201,127,10","5,240,110","1.000000,0.808379,0.363070",20.333333333333332,0.04900859000190394,0.003070040404792429
116,mic_fileid_116_doa41_3spk.wav,"41,175,145","30,275,75","1.000000,0.069829,0.056766",60.333333333333336,0.037948198998492444,0.0023925288400723434
